type,price,address,description,bedrooms,bathrooms,agency_name,agency_link,image_url
Apartment,"6,500  QAR / MONTH",Fereej Bin Mahmoud,NO COMMISSION! 2BR FULLY FURNISHED APARTMENT WITH ONE MONTH RENT FREE,2,2,ajgream,https://www.qatarliving.com/user/ajgream,https://files.qatarliving.com/styles/555x415/s3/2019/02/05/RE-11.jpg?itok=kDthHBKE
Apartment,"7,300  QAR / MONTH",Abu Hamour,4BR UF/ FF Flats in a Compound ,4,3,aqsa786,https://www.qatarliving.com/user/aqsa786,https://files.qatarliving.com/styles/555x415/s3/2019/12/02/7DD87F44-D704-4C9D-BA16-FD950BF30A5D.jpeg?itok=8EDrW8Iz
Apartment,"1,800  QAR / MONTH",Al Muntazah,Studio UF without kitchen in Muntuza,Studio,1,aqsa786,https://www.qatarliving.com/user/aqsa786,https://files.qatarliving.com/styles/555x415/s3/2019/12/02/B60769C8-9271-46D3-80F5-0965AE525B0A.jpeg?itok=aFaEHyqP
Apartment,"4,500  QAR / MONTH",Najma,JANUARY ONE MONTH FREE 2 BHK SPACIOUS FLATS AVAILABLE FOR EXECUTIVE BACHELOR IN NAJMA ,2,2,landroyal.trading,https://www.qatarliving.com/user/landroyaltrading,https://files.qatarliving.com/styles/555x415/s3/2018/09/08/PHOTO-2018-07-14-14-22-19.jpg?itok=HumTkBFE
Apartment,"6,000  QAR / MONTH",Al Mansoura / Fereej Bin Dirham,Flat for rent behind Holiday Villa,3,3,Nozul Real Estate,https://www.qatarliving.com/user/nozul-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/01/19/bldg-.-46.jpg?itok=g1EySiij
Apartment,"4,500  QAR / MONTH",Najma,2 BED ROOM SPACIOUS APARTMENT AVAILABLE IN NAJMA BACK SIDE OF AL MEERA FOR FAMILIES AND EX,2,2,landroyal.trading,https://www.qatarliving.com/user/landroyaltrading,https://files.qatarliving.com/styles/555x415/s3/2019/05/26/IMG-5364.JPG?itok=VuNg0Oen
Apartment,"3,800  QAR / MONTH",Al Muntazah,"2 BHK APARTMENT NEAR HOLIDAY VILLA, C RING ROAD.",2,2,VIP Service,https://www.qatarliving.com/user/vip-service,https://files.qatarliving.com/styles/555x415/s3/2020/02/09/IMG_20200209_171426.jpg?itok=TKTu_QF0
Apartment,"4,800  QAR / MONTH",Old Airport,3 BHK APARTMENT NEAR CAIRO SUPER MARKET IN OLD AIRPORT FOR FAMILY.,3,2,VIP Service,https://www.qatarliving.com/user/vip-service,https://files.qatarliving.com/styles/555x415/s3/2020/03/13/IMG_20200312_143811.jpg?itok=GZ9Lmm8O
Apartment,"4,500  QAR / MONTH",Al Muntazah,No Commission-1 Month Free- U/F 2BHK with AC - Al Muntazah,2,2,Aldar Properties,https://www.qatarliving.com/user/aldar-properties,https://files.qatarliving.com/styles/555x415/s3/2020/04/05/Muntazah35-outside.jpg?itok=6pfqb7kJ
Apartment,"4,000  QAR / MONTH",Wakrah,4 BHK U/F FLAT IN WAKRA,4,2,Al Crystal Real Estate,https://www.qatarliving.com/user/al-crystal-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/05/01/797.jpg?itok=4r5W6jDi
Apartment,"5,000  QAR / MONTH",Al Gharrafa,3 bedrooms un furnished house(small villa) in gharafa,3,3,Al Crystal Real Estate,https://www.qatarliving.com/user/al-crystal-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/11/12/Screenshot_20191112-103113_WhatsApp.jpg?itok=Vn5YI4bj
Apartment,"9,000  QAR / MONTH",The Pearl Qatar,TPG-R-1302 Month Free | Best Views | Request Virtual Tour,1,2,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/04/15/3-1_2.jpg?itok=GOy6174o
Apartment,"12,500  QAR / MONTH",The Pearl Qatar,TPG-R-1303 One Month Free | Spacious | Request virtual Tour,2,3,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/04/15/1-1_1.jpg?itok=4zKd2c9b
Apartment,"17,500  QAR / MONTH",The Pearl Qatar,TPG-R-1333 No Commission | Request Virtual Tour | With Office,4,3+,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/04/14/vb14-5_2.jpg?itok=HTd8FVPu
Apartment,"10,400  QAR / MONTH",The Pearl Qatar,TPG-R-1339 No Commission| Bills Included |Request VirtualTour,2,3,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/04/14/1_13.jpg?itok=mYyuHJJ8
Apartment,"10,000  QAR / MONTH",The Pearl Qatar,TPG-R-1300 With Office | 1 Month Free | Request Virtual Tour,1,2,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/04/16/1_1.jpg?itok=-85tmQft
Apartment,"12,500  QAR / MONTH",The Pearl Qatar,TPG-R-1298 Month Free | Top Quality | Request Virtual Tour,2,3,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/04/16/1_3.jpg?itok=Ok9pWiSB
Apartment,"6,000  QAR / MONTH",The Pearl Qatar,TPG-R-1295 Month Free | Luxury Apt | Request Virtual Tour,Studio,1,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/04/16/2_8.jpg?itok=iWeEQ3ch
Apartment,"10,500  QAR / MONTH",The Pearl Qatar,TPG-R-1285 W Office | Bills Included | Request Virtual Tour,1,2,The Pearl Gates Luxury Realty,https://www.qatarliving.com/user/pearl-gates-luxury-realty,https://files.qatarliving.com/styles/555x415/s3/2020/04/16/DSC_0003.jpg?itok=M6o_UWV5
Apartment,"4,500  QAR / MONTH",Najma,"2BHK FOR EXECUTIVES@NAJMA,NO COMMISSION.",2,2,paramountreal41,https://www.qatarliving.com/user/paramountreal41,https://files.qatarliving.com/styles/555x415/s3/2020/04/04/2018-01-16-PHOTO-00000825_1.jpg?itok=kBkW3LuP
