title,description,location,features,date,price
Spacious 1 Bhk Flat on highway with 24x7 Water Supply,"-A spacious 1Bhk flat with 24x7 Water Supply.  -Cidco water supply all Day -Car Parking Available.  -All the windows are have Safety Grill and Mosquito Nets. -The front door has Safety Door. -Kitchen is Semi Furnished. -Passage between Hall and Bedroom with ample space for Washing machine, wash basin and drying clothes. -Another passage where inverter and Shoe rack can be accommodated. -Separate toilet and bathroom both have been worked with ceramic tiles. -The building is on the Panvel - Matheran Highway, and right below the building there is NMMT Bus stop.  -Auto stand is 2 Mins away.  -Distance from Panvel station = 5 mins.  -Distance from Bus Depot = 10mins. -A cidco garden is 2 Mins away.  -Best Schools like DAV and St Josephs are within 1km.  -Multi speciality Hospitals within 1Km -Society Formation is done.  -Project is collector approved with oc.","India, Maharashtra, Navi Mumbai, Sukapur",1 Bds - 1 Ba - 871 ft2,2020-02-28T15:01:52+0000,"₹ 30,00,000"
Flats at rajendra nagar & attapur,3bhk flats in best price to sell,"India, Telangana, Hyderabad, Attapur",3 Bds - 3 Ba - 1465 ft2,2020-02-28T15:01:26+0000,"₹ 55,00,000"
"Flats for Sale in Kharadi, Pune","Flats for Sale in Kharadi, Pune","India, Maharashtra, Pune, Keshav Nagar",2 Bds - 2 Ba - 752 ft2,2020-02-28T15:01:16+0000,"₹ 68,06,204"
Buy 2 BHK Flats near Kharadi |,Buy 2 BHK Flats near Kharadi |,"India, Maharashtra, Pune, Kalyani Nagar",2 Bds - 2 Ba - 752 ft2,2020-02-28T15:01:16+0000,"₹ 68,06,076"
GDA approved  2 BHK flat for sale inDLF ankur vihar,Locality  DLf ankur vihar and free hold property  Loan Facility available,"India, Uttar Pradesh, Loni, DLF Ankur Vihar",2 Bds - 2 Ba - 750 ft2,2020-02-28T15:01:12+0000,"₹ 21,89,000"
9 cent 4000 sqft pujapura,"9 cent 4000 sqft pujapura 4 bedroom attached, hall, kitchen, balcony and sitout 3 car parking area brokers please excuse 2, 30 cr.","India, Kerala, Thiruvananthapuram, Vattiyoorkavu",4 Bds - 4 Ba - 4000 ft2,2020-02-28T15:01:08+0000,"₹ 2,30,00,000"
Vasudev Sky High comes up as a grand residential cum shopping complex,"Vasudev Sky High comes up as a grand residential cum shopping complex. The project comes up as a tribute to modern living with its high-end amenities and luxurious facilities. This masterpiece strikes a perfect harmony of meticulous planning, ultra modern amenities, impeccable construction and prized surrounding. Thoughtfully designed apartments symbolize a fine sense of harmony and spacious living. Give yourself the pride of owning a paradise by buying a home at Vasudev Sky High. Ample Parking Space Earthquake Resistant RCC Framed Structure Rainwater Harvesting Solar System Decorative Entrance Lobby Strategic Location Advantages","India, Maharashtra, Mumbai, Mira Road",1 Bds - 2 Ba - 695 ft2,2020-02-28T15:01:05+0000,"₹ 61,00,000"
Three bhk flat for sell in tridev residency patiya Lanka varanasi,Looking for sell in tridev residency patiya sundarpur Lanka varanasi gym play ground,"India, Uttar Pradesh, Varanasi, Shukulpur",3 Bds - 3 Ba - 1399 ft2,2020-02-28T15:01:05+0000,"₹ 61,00,000"
3 Cent's 1570 sqft 3 BHK brand new house Rs/- 58 lakhs,"3 Cent's land 1570 sqft 3 BHK nearing completion independent house for sale with car parking Rs/- 58 lakhs negotiable near by 1 km from puthiyakavu Valavu junction for more details please contact Nice Place Properties Vyittla Ernakulam 9/8/9/5/2/2/3/7/6/5, 9/0/6/18/8/8/8/7/4 broker excuse","India, Kerala, Kochi, Puthiyakavu",3 Bds - 3 Ba - 1600 ft2,2020-02-28T15:01:04+0000,"₹ 58,00,000"
Independent house for sale Sadasivpet town,2bhk house 75% bank loan facility,"India, Telangana, Sadasivpet, Siddapu Colony",2 Bds - 2 Ba - 800 ft2,2020-02-28T15:01:03+0000,"₹ 29,00,000"
