name,type,location,website
Marquette University,4 Year,"Milwaukee, WI",https://www.niche.com/colleges/marquette-university/
Illinois Institute of Technology,4 Year,"Chicago, IL",https://www.niche.com/colleges/illinois-institute-of-technology/
Illinois Wesleyan University,4 Year,"Bloomington, IL",https://www.niche.com/colleges/illinois-wesleyan-university/
University of Houston,4 Year,"Houston, TX",https://www.niche.com/colleges/university-of-houston/
Augustana University,4 Year,"Sioux Falls, SD",https://www.niche.com/colleges/augustana-university/
Muhlenberg College,4 Year,"Allentown, PA",https://www.niche.com/colleges/muhlenberg-college/
Temple University,4 Year,"Philadelphia, PA",https://www.niche.com/colleges/temple-university/
University of Mississippi,4 Year,"University, MS",https://www.niche.com/colleges/university-of-mississippi/
Colorado State University,4 Year,"Fort Collins, CO",https://www.niche.com/colleges/colorado-state-university/
Point Loma Nazarene University,4 Year,"San Diego, CA",https://www.niche.com/colleges/point-loma-nazarene-university/
Wofford College,4 Year,"Spartanburg, SC",https://www.niche.com/colleges/wofford-college/
DigiPen Institute of Technology,4 Year,"Redmond, WA",https://www.niche.com/colleges/digipen-institute-of-technology/
Hendrix College,4 Year,"Conway, AR",https://www.niche.com/colleges/hendrix-college/
Calvin College,4 Year,"Grand Rapids, MI",https://www.niche.com/colleges/calvin-college/
Clark University,4 Year,"Worcester, MA",https://www.niche.com/colleges/clark-university/
Trinity College - Connecticut,4 Year,"Hartford, CT",https://www.niche.com/colleges/trinity-college---connecticut/
University of Vermont,4 Year,"Burlington, VT",https://www.niche.com/colleges/university-of-vermont/
University of Scranton,4 Year,"Scranton, PA",https://www.niche.com/colleges/university-of-scranton/
University of South Carolina - Lancaster,2 Year,"Lancaster, SC",https://www.niche.com/colleges/university-of-south-carolina---lancaster/
Ouachita Baptist University,4 Year,"Arkadelphia, AR",https://www.niche.com/colleges/ouachita-baptist-university/
University of Wyoming,4 Year,"Laramie, WY",https://www.niche.com/colleges/university-of-wyoming/
Rutgers University - Newark,4 Year,"Newark, NJ",https://www.niche.com/colleges/rutgers-university---newark/
Lewis & Clark College,4 Year,"Portland, OR",https://www.niche.com/colleges/lewis--and--clark-college/
Drexel University,4 Year,"Philadelphia, PA",https://www.niche.com/colleges/drexel-university/
University of Evansville,4 Year,"Evansville, IN",https://www.niche.com/colleges/university-of-evansville/
San Diego State University,4 Year,"San Diego, CA",https://www.niche.com/colleges/san-diego-state-university/
Loyola University Chicago,4 Year,"Chicago, IL",https://www.niche.com/colleges/loyola-university-chicago/
University of Alabama - Birmingham,4 Year,"Birmingham, AL",https://www.niche.com/colleges/university-of-alabama---birmingham/
Fordham University,4 Year,"Bronx, NY",https://www.niche.com/colleges/fordham-university/
Clarkson University,4 Year,"Potsdam, NY",https://www.niche.com/colleges/clarkson-university/
Providence College,4 Year,"Providence, RI",https://www.niche.com/colleges/providence-college/
The New School,4 Year,"New York, NY",https://www.niche.com/colleges/the-new-school/
Kalamazoo College,4 Year,"Kalamazoo, MI",https://www.niche.com/colleges/kalamazoo-college/
DePaul University,4 Year,"Chicago, IL",https://www.niche.com/colleges/depaul-university/
Biola University,4 Year,"La Mirada, CA",https://www.niche.com/colleges/biola-university/
Bradley University,4 Year,"Peoria, IL",https://www.niche.com/colleges/bradley-university/
Loyola University Maryland,4 Year,"Baltimore, MD",https://www.niche.com/colleges/loyola-university-maryland/
Cedarville University,4 Year,"Cedarville, OH",https://www.niche.com/colleges/cedarville-university/
South Dakota School of Mines & Technology,4 Year,"Rapid City, SD",https://www.niche.com/colleges/south-dakota-school-of-mines--and--technology/
The University of Alabama in Huntsville,4 Year,"Huntsville, AL",https://www.niche.com/colleges/the-university-of-alabama-in-huntsville/
Connecticut College,4 Year,"New London, CT",https://www.niche.com/colleges/connecticut-college/
Florida International University,4 Year,"Miami, FL",https://www.niche.com/colleges/florida-international-university/
Allegheny College,4 Year,"Meadville, PA",https://www.niche.com/colleges/allegheny-college/
Bob Jones University,4 Year,"Greenville, SC",https://www.niche.com/colleges/bob-jones-university/
United States Merchant Marine Academy,4 Year,"Kings Point, NY",https://www.niche.com/colleges/united-states-merchant-marine-academy/
Millsaps College,4 Year,"Jackson, MS",https://www.niche.com/colleges/millsaps-college/
University of Tennessee,4 Year,"Knoxville, TN",https://www.niche.com/colleges/university-of-tennessee/
College of the Ozarks,4 Year,"Point Lookout, MO",https://www.niche.com/colleges/college-of-the-ozarks/
University of California - Santa Cruz,4 Year,"Santa Cruz, CA",https://www.niche.com/colleges/university-of-california---santa-cruz/
Duquesne University,4 Year,"Pittsburgh, PA",https://www.niche.com/colleges/duquesne-university/
John Carroll University,4 Year,"University Heights, OH",https://www.niche.com/colleges/john-carroll-university/
Oregon State University,4 Year,"Corvallis, OR",https://www.niche.com/colleges/oregon-state-university/
Union University,4 Year,"Jackson, TN",https://www.niche.com/colleges/union-university/
Rollins College,4 Year,"Winter Park, FL",https://www.niche.com/colleges/rollins-college/
Westmont College,4 Year,"Santa Barbara, CA",https://www.niche.com/colleges/westmont-college/
Pacific Lutheran University,4 Year,"Tacoma, WA",https://www.niche.com/colleges/pacific-lutheran-university/
University of Dayton,4 Year,"Dayton, OH",https://www.niche.com/colleges/university-of-dayton/
"Stony Brook University, SUNY",4 Year,"Stony Brook, NY",https://www.niche.com/colleges/stony-brook-university-suny/
Albany College of Pharmacy & Health Sciences,4 Year,"Albany, NY",https://www.niche.com/colleges/albany-college-of-pharmacy--and--health-sciences/
Florida Institute of Technology,4 Year,"Melbourne, FL",https://www.niche.com/colleges/florida-institute-of-technology/
Ohio University,4 Year,"Athens, OH",https://www.niche.com/colleges/ohio-university/
Southwestern University,4 Year,"Georgetown, TX",https://www.niche.com/colleges/southwestern-university/
University of the Pacific,4 Year,"Stockton, CA",https://www.niche.com/colleges/university-of-the-pacific/
University of Dallas,4 Year,"Irving, TX",https://www.niche.com/colleges/university-of-dallas/
Appalachian State University,4 Year,"Boone, NC",https://www.niche.com/colleges/appalachian-state-university/
Augustana College - Illinois,4 Year,"Rock Island, IL",https://www.niche.com/colleges/augustana-college---illinois/
Spelman College,4 Year,"Atlanta, GA",https://www.niche.com/colleges/spelman-college/
University of Kentucky,4 Year,"Lexington, KY",https://www.niche.com/colleges/university-of-kentucky/
Gustavus Adolphus College,4 Year,"Saint Peter, MN",https://www.niche.com/colleges/gustavus-adolphus-college/
Wabash College,4 Year,"Crawfordsville, IN",https://www.niche.com/colleges/wabash-college/
Rhodes College,4 Year,"Memphis, TN",https://www.niche.com/colleges/rhodes-college/
University of Portland,4 Year,"Portland, OR",https://www.niche.com/colleges/university-of-portland/
Arizona State University,4 Year,"Tempe, AZ",https://www.niche.com/colleges/arizona-state-university/
The University of Alabama,4 Year,"Tuscaloosa, AL",https://www.niche.com/colleges/the-university-of-alabama/
Washington State University,4 Year,"Pullman, WA",https://www.niche.com/colleges/washington-state-university/
American University,4 Year,"Washington, DC",https://www.niche.com/colleges/american-university/
