Song Heading,Singer,Composer,Lyricist,Actor,Film (Year),Category
"Kholo Kholo Darwaaje, Parde Karo Kinare4.36 - 11 votes",Raman Mahadevan,"Shankar Ehsaan Loy, Shailendra Barve",Prasoon Joshi,Aamir Khan,Taare Zameen Par (2007),Philosophical Songs
Mera Jahaan4.33 - 6 votes,Adnan Sami,"Shankar Ehsaan Loy, Shailendra Barve",Prasoon Joshi,,Taare Zameen Par (2007),Dard Bhare Geet
Do Lafzon Ki Hai Dil Ki Kahani4.27 - 1739 votes,"Asha Bhosle, Amitabh Bachchan, Sharad Kumar",R D Burman,Anand Bakshi,"Zeenat Aman, Amitabh Bachchan",The Great Gambler (1979),Romantic Songs
O Deewano Dil Sambhalo4.29 - 7 votes,Asha Bhosle,R D Burman,Anand Bakshi,Zeenat Aman,The Great Gambler (1979),
Pahale Pahale Pyaar Kee Mulaakaate Yaad Hai4.04 - 45 votes,"Asha Bhosle, Kishore Kumar",R D Burman,Anand Bakshi,"Neetu Singh, Amitabh Bachchan",The Great Gambler (1979),Ched Chad Songs
"Rakkasa Mera Naam, Ho Rakkasa Mera Naam3.84 - 19 votes","Asha Bhosle, Mohammed Rafi",R D Burman,Anand Bakshi,"Amitabh Bachchan, Zeenat Aman",The Great Gambler (1979),Dance Songs
Tum Kitane Din Baad Mile4.00 - 8 votes,Asha Bhosle,R D Burman,Anand Bakshi,"Sujit Kumar, Prem Chopra, Zeenat Aman, Amitabh Bachchan, Neetu Singh",The Great Gambler (1979),Intezaar
Teri Hai Zameen Tera Aasmaan4.57 - 400 votes,Padmini Kolhapure,R D Burman,Sahir Ludhianvi,"Neetu Singh, Jeetendra",The Burning Train (1980),Religious Songs
Pal Do Pal Ka Saath Hamara4.21 - 147 votes,"Asha Bhosle, Mohammed Rafi",R D Burman,Sahir Ludhianvi,"Vinod Mehra, Vinod Khanna, Simi Garewal, Parveen Babi, Neetu Singh, Jeetendra, Hema Malini, Dharmendra, Danny Denzongpa",The Burning Train (1980),Qawwalis
Meri Nazar Hai Tujh Pe4.23 - 13 votes,Asha Bhosle,R D Burman,Sahir Ludhianvi,"Hema Malini, Rekha",The Burning Train (1980),"Dance Songs, Romantic Songs"
Pahali Nazar Me Hamne To Apna4.60 - 5 votes,"Usha Mangeshkar, R D Burman, Mohammed Rafi, Asha Bhosle, Amit Kumar",R D Burman,Sahir Ludhianvi,"Vinod Khanna, Dharmendra, Danny Denzongpa",The Burning Train (1980),
Kisi Ke Wade Pe Kyo Aetbaar Humne Kiya4.25 - 8 votes,Asha Bhosle,R D Burman,Sahir Ludhianvi,,The Burning Train (1980),
Vaadaa Ha Vaadaa Jab Tak Ambar Par Taare Ho3.67 - 6 votes,"Asha Bhosle, Kishore Kumar",R D Burman,Sahir Ludhianvi,"Vinod Mehra, Vinod Khanna, Simi Garewal, Parveen Babi, Neetu Singh, Jeetendra, Hema Malini, Dharmendra, Danny Denzongpa",The Burning Train (1980),
Theme Of The Burning Train3.00 - 1 votes,,R D Burman,,,The Burning Train (1980),Instrumental Songs
Ek Do Tin Char Panch Chhe Saat (Female Version)4.44 - 90 votes,Alka Yagnik,Laxmikant Pyarelal,Javed Akhtar,"Madhuri Dixit, Anupam Kher, Anil Kapoor",Tezaab (1988),"Filmfare Awards Winner, Dance Songs"
Tezaab (Dandia Music)4.33 - 3 votes,,Laxmikant Pyarelal,,,Tezaab (1988),Instrumental Songs
So Gaya Ye Jaha So Gaya Aasama4.37 - 94 votes,Nitin Mukesh,Laxmikant Pyarelal,Javed Akhtar,"Anil Kapoor, Anupam Kher, Madhuri Dixit",Tezaab (1988),Dream Songs
Ek Do Tin Char Panch Chhe Saat4.23 - 39 votes,Amit Kumar,Laxmikant Pyarelal,Javed Akhtar,Anil Kapoor,Tezaab (1988),"Masti Bhare Geet, Dance Songs"
Keh Do Kee Tum Ho Meree Warna4.12 - 86 votes,"Amit Kumar, Anuradha Paudwal",Laxmikant Pyarelal,Javed Akhtar,"Madhuri Dixit, Anupam Kher, Anil Kapoor",Tezaab (1988),Ched Chad Songs
Tumko Ham Dilbar Kyun Maane3.50 - 8 votes,"Anuradha Paudwal, Sudesh Bhosle",Laxmikant Pyarelal,Javed Akhtar,"Anil Kapoor, Madhuri Dixit",Tezaab (1988),Romantic Songs
Jivan Se Bharee Teree Aankhe4.41 - 235 votes,Kishore Kumar,Kalyanji Anandji,Indeevar,Rajesh Khanna,Safar (1970),"Songs about Eyes, Romantic Songs"
Jo Tumko Ho Pasand Wohi Bat Kahenge4.39 - 130 votes,Mukesh,Kalyanji Anandji,Indeevar,"Sharmila Tagore, Feroz Khan",Safar (1970),Romantic Songs
O Nadiyaa Chale Chale Re Dhaaraa4.45 - 85 votes,Manna Dey,Kalyanji Anandji,Indeevar,"Sharmila Tagore, Rajesh Khanna",Safar (1970),Philosophical Songs
"Ham The Jinake Sahaare, Vo Hue Naa Hamaare4.38 - 74 votes",Lata Mangeshkar,Kalyanji Anandji,Indeevar,"Sharmila Tagore, Rajesh Khanna",Safar (1970),Sad Songs
"Zindagi Ka Safar, Hai Ye Kaisa Safar4.42 - 1570 votes",Kishore Kumar,Kalyanji Anandji,Indeevar,"Rajesh Khanna, Sharmila Tagore",Safar (1970),"Philosophical Songs, Sad Songs, Classical Songs"
Title Music (Safar)3.63 - 8 votes,,Kalyanji Anandji,,,Safar (1970),Instrumental Songs
Ye Hawa Ye Raat Ye Chandni4.44 - 192 votes,Talat Mahmood,Sajjad,Rajinder Krishan,"Dilip Kumar, Shammi",Sangdil (1952),"Romantic Songs, Tareef Songs"
Dharati Se Dur Gore Baadalon Ke Paar (Aa Jaa Basaa Le Naya Sansaar)4.73 - 22 votes,"Asha Bhosle, Geeta Dutt",Sajjad,Rajinder Krishan,Dilip Kumar,Sangdil (1952),"Dream Songs, Romantic Songs"
Kaha Ho Kaha Mere Jiwan Sahaare4.59 - 29 votes,Talat Mahmood,Sajjad,Rajinder Krishan,Dilip Kumar,Sangdil (1952),Sad Songs
Wo To Chale Gaye Ai Dil Yaad Se Unaki Pyaar Kar4.30 - 47 votes,Lata Mangeshkar,Sajjad,Rajinder Krishan,Madhubala,Sangdil (1952),Sad Songs
Dil Me Sama Gaye Sajan4.25 - 51 votes,"Talat Mahmood, Lata Mangeshkar",Sajjad Hussain,Rajinder Krishan,"Madhubala, Dilip Kumar",Sangdil (1952),Romantic Songs
Darshan Pyaasi Aai Daasi4.25 - 28 votes,Geeta Dutt,Sajjad,Rajinder Krishan,Madhubala,Sangdil (1952),Religious Songs
Le Chal Waha Piya Jaha Tera Mera Jiya4.25 - 8 votes,Shamshad Begum,Sajjad Hussain,Rajinder Krishan,,Sangdil (1952),
Dard Bhari Kisi Ki Yaad4.32 - 19 votes,Asha Bhosle,Sajjad Hussain,Rajinder Krishan,,Sangdil (1952),Sad Songs
Gore Gore O Banke Chore4.38 - 64 votes,"Lata Mangeshkar, Amirbai Karnataki",Chitalkar Ramchandra,Rajinder Krishan,"Ashok Kumar, Nalini Jaywant, Kuldeep Kaur",Samadhi (1950),
Abhi Shaam Aayegi Niklenge Taare4.38 - 13 votes,Lata Mangeshkar,Chitalkar Ramchandra,Rajendra Krishan,,Samadhi (1950),
"Vo Paas Aa Rahe Hain, Hum Dur Jaa Rahe Hain4.53 - 19 votes",Lata Mangeshkar,Chitalkar Ramchandra,Rajinder Krishan,"Ashok Kumar, Nalini Jaywant",Samadhi (1950),
Idhar Mohabbat Udhar Zamana4.17 - 18 votes,Shamshad Begum,Chitalkar Ramchandra,Rajendra Krishan,,Samadhi (1950),
Kadam Kadam Badhaye Ja4.44 - 9 votes,Chitalkar Ramchandra,Chitalkar Ramchandra,Rajendra Krishan,,Samadhi (1950),
Netaji Ka Jeevan Hai Balidan Ki Ek Kahani3.25 - 4 votes,Chitalkar Ramchandra,Chitalkar Ramchandra,Rajendra Krishan,,Samadhi (1950),
Sab Milkar Hind Pukare1.00 - 1 votes,,Chitalkar Ramchandra,Rajendra Krishan,,Samadhi (1950),
Apni Mata Ke Dulare Bachhe4.53 - 15 votes,Hemant Kumar,O P Nayyar,Kavi Pradeep,,Sambandh (1969),
Hey Jagat Pita Parmatma Karo Nirmal Meri Aatma4.27 - 15 votes,"Hemant Kumar, Asha Bhosle",O P Nayyar,Kavi Pradeep,,Sambandh (1969),Prayer
Akeli Hu Main Piya Aa4.60 - 5 votes,Asha Bhosle,O P Nayyar,Kavi Pradeep,"Pradeep Kumar, Deb Mukherjee, Anjana Mumtaz",Sambandh (1969),
Ye Khushi Leke Mai Kya Karu4.50 - 8 votes,Mahendra Kapoor,O P Nayyar,Kavi Pradeep,,Sambandh (1969),
"Chal Akelaa, Chal Akelaa, Chal Akelaa4.58 - 455 votes",Mukesh,O P Nayyar,Kavi Pradeep,"Anjana Mumtaz, Deb Mukherjee, Pradeep Kumar",Sambandh (1969),Philosophical Songs
Jo Diya Tha Tumne Ek Din Mujhe Fir Vo Pyar De Do4.31 - 67 votes,"Hemant Kumar, Mahendra Kapoor",O P Nayyar,Kavi Pradeep,,Sambandh (1969),
"Andhere Mein Jo Baithe Hain, Nazar Un Par Bhi Kuchh Dalo4.24 - 45 votes",Mahendra Kapoor,O P Nayyar,Kavi Pradeep,"Anjana Mumtaz, Deb Mukherjee, Pradeep Kumar",Sambandh (1969),Sad Songs
Apni Maa Ki Kismat Par Mere Bete Tu Mat Ro4.13 - 16 votes,Asha Bhosle,O P Nayyar,Kavi Pradeep,,Sambandh (1969),Sad Songs
Tumko To Karodo Saal Huye Batlao Gagan Gambhir4.38 - 24 votes,Asha Bhosle,O P Nayyar,Kavi Pradeep,,Sambandh (1969),Sad Songs
Mere Paas Hai Aur Na Kuchh Logo4.13 - 15 votes,Mahendra Kapoor,O P Nayyar,Kavi Pradeep,,Sambandh (1969),
Main Ankhon Me Milan Ki4.00 - 2 votes,Asha Bhosle,O P Nayyar,Kavi Pradeep,,Sambandh (1969),
Pathar Pe Likhi Koi Prem Kahani Ban Jau3.78 - 116 votes,"Kumar Sanu, Sadhana Sargam",Anand Milind,Sameer,"Kajol, Vikas Bhalla",Taaqat (1995),Romantic Songs
Mere Chehare Pe Likha Hai Afsaana Aap Kaa4.00 - 27 votes,"Alka Yagnik, Udit Narayan",Anand Milind,Sameer,Kajol,Taaqat (1995),Romantic Songs
Dandiye Ke Bahane Aa Jana3.88 - 26 votes,"Sadhana Sargam, Udit Narayan",Anand Milind,Sameer,Kajol,Taaqat (1995),
Mera Dil Tujhpe Marta Hai3.35 - 20 votes,"Alka Yagnik, Udit Narayan",Anand Milind,Sameer,,Taaqat (1995),
Hun Huna Re Hun Huna4.26 - 19 votes,"Kumar Sanu, Poornima",Anand Milind,Sameer,"Kajol, Vikas Bhalla",Taaqat (1995),
Kaisi Hai Dil Ki Lagi Kaisa Hai Pyar Ka Gum3.00 - 11 votes,"Kumar Sanu, Alka Yagnik",Anand Milind,Sameer,"Kajol, Vikas Bhalla",Taaqat (1995),Sad Songs
Love Me Love Me O Baba Love Me Love Me4.50 - 6 votes,"Poornima, Udit Narayan",Anand Milind,Sameer,"Vikas Bhalla, Kajol",Taaqat (1995),Romantic Songs
O Yaara Yaara4.29 - 7 votes,Asha Bhosle,R D Burman,Majrooh Sultanpuri,,Samadhi (1972),
Ye Khel Hai Takdir Ke Do Chehare Ik Tasvir Ke4.26 - 23 votes,Manna Dey,R D Burman,Majrooh Sultanpuri,Dharmendra,Samadhi (1972),Sad Songs
Jab Tak Rahe Tan Me Jiya4.24 - 72 votes,Asha Bhosle,R D Burman,Majrooh Sultanpuri,"Asha Parekh, Dharmendra",Samadhi (1972),Happy Songs
Maine Dekha Ek Sapna4.35 - 17 votes,"Lata Mangeshkar, Kishore Kumar",R D Burman,Majrooh Sultanpuri,"Jaya Bhaduri, Dharmendra",Samadhi (1972),Ched Chad Songs
Jane Janaa Jao Kal Phir Aana4.07 - 14 votes,Kishore Kumar,R D Burman,Majrooh Sultanpuri,"Jaya Bachchan, Dharmendra",Samadhi (1972),Masti Bhare Geet
Bangale Ke Pichhe Teri Beri Ke Niche4.22 - 58 votes,Lata Mangeshkar,R D Burman,Majrooh Sultanpuri,"Asha Parekh, Dharmendra, Jaya Bhaduri",Samadhi (1972),
Bheed Me Tanhai Me Pyas Ki Gehrai Me3.91 - 123 votes,"Udit Narayan, Shreya Ghoshal",Nadeem Shravan,Sameer,"Dia Mirza, Emraan Hashmi",Tumsa Nahin Dekha (2004),Sad Songs
Wo Humse Khafa Hai4.30 - 23 votes,"Udit Narayan, Shreya Ghoshal",Nadeem Shravan,Sameer,"Dia Mirza, Emraan Hashmi",Tumsa Nahin Dekha (2004),
Bheed Me Tanhai Me Pyas Ki Gehrai Me (Version 2)3.90 - 21 votes,"Shreya Ghoshal, Udit Narayan",Nadeem Shravan,Sameer,,Tumsa Nahin Dekha (2004),
Ye Dhua Dhua3.50 - 22 votes,"Shreya Ghoshal, Roop Kumar Rathod",Richard Clayderman,Sameer,"Dia Mirza, Emraan Hashmi",Tumsa Nahin Dekha (2004),
Dhanak Ka Rang Hai Bikhra Mere Dupatte Pe3.48 - 25 votes,Shreya Ghoshal,Nadeem Shravan,Sameer,Dia Mirza,Tumsa Nahin Dekha (2004),
Maine Soch Liya4.06 - 16 votes,"Udit Narayan, Shreya Ghoshal",Nadeem Shravan,Sameer,"Dia Mirza, Emraan Hashmi",Tumsa Nahin Dekha (2004),
Mere Dil Bata Jau Kaha (Tanhaiya)4.67 - 3 votes,Sonu Nigam,Nadeem Shravan,Sameer,Emraan Hashmi,Tumsa Nahin Dekha (2004),
Ye Dhuan Dhuan (Instrumental)4.00 - 2 votes,,Richard Clayderman,,,Tumsa Nahin Dekha (2004),Instrumental Songs
Mujhe Tumse Mohabbat Diwangi Ki Had Tak3.56 - 27 votes,"Shaan, Shreya Ghoshal",Nadeem Shravan,Sameer,"Dia Mirza, Emraan Hashmi",Tumsa Nahin Dekha (2004),
Mujhe Tumse Mohabbat (Remix)4.33 - 9 votes,"Shaan, Shreya Ghoshal",Nadeem Shravan,Sameer,,Tumsa Nahin Dekha (2004),Remix Songs
Saiyaan Re Saiyaan Re Ye Gori Baiyaan Re4.55 - 11 votes,"Loy Mendonsa, Shankar Mahadevan, Shilpa Rao",Shankar Ehsaan Loy,Sameer,"Akshaye Khanna, Priyanka Chopra",Salaam-E-Ishq (2007),
Salame Ishq Meri Jaan3.92 - 13 votes,"Shankar Mahadevan, Sadhana Sargam, Kunal Ganjawala, Shreya Ghoshal, Sonu Nigam",Shankar Ehsaan Loy,Sameer,"Priyanka Chopra, Rimi Sen, Salman Khan",Salaam-E-Ishq (2007),
Pyar Hai Ya Saja Ae Mere Dil Bata (Ya Rabba)4.15 - 194 votes,Kailash Kher,Shankar Ehsaan Loy,Sameer,"Govinda, John Abraham, Priyanka Chopra",Salaam-E-Ishq (2007),Sad Songs
Mera Dil Dil Mera Ishq Mein4.08 - 13 votes,"Shaan, Nihira Joshi",Shankar Ehsaan Loy,Sameer,"Priyanka Chopra, Salman Khan",Salaam-E-Ishq (2007),Romantic Songs
Tenu Leke Mai Javanga4.08 - 12 votes,"Mahalakshmi Iyer, Sonu Nigam",Shankar Ehsaan Loy,Sameer,"Priyanka Chopra, Salman Khan",Salaam-E-Ishq (2007),Roothna Manaana
"Silli Silli Tapti Raaton Mein, Jalta Hu Main Barsato Me4.00 - 14 votes",Adnan Sami,Shankar Ehsaan Loy,Sameer,"John Abraham, Vidya Balan",Salaam-E-Ishq (2007),Romantic Songs
"Babuji Dheere Chalna, Pyaar Mein4.11 - 9 votes",Nihira Joshi,Shankar Ehsaan Loy,Sameer,Anjana Sukhani,Salaam-E-Ishq (2007),"Masti Bhare Geet, Dance Songs"
Tu Jahan Main Waha4.29 - 21 votes,"Sonu Nigam, Mahalakshmi Iyer",Vishal Shekhar,Jaideep Sahni,"Preity Zinta, Saif Ali Khan",Salaam Namaste (2005),Sad Songs
My Dil Goes Mmmm3.75 - 16 votes,"Gayatri Ganjawala, Shaan",Vishal Shekhar,Jaideep Sahni,"Saif Ali Khan, Preity Zinta",Salaam Namaste (2005),Romantic Songs
Whats Going On4.25 - 4 votes,"Sunidhi Chauhan, Kunal Ganjawala",Vishal Shekhar,Jaideep Sahni,"Saif Ali Khan, Preity Zinta",Salaam Namaste (2005),Masti Bhare Geet
Salaam Namaste4.14 - 7 votes,"Vasundhara Das, Kunal Ganjawala",Vishal Shekhar,Jaideep Sahni,"Saif Ali Khan, Preity Zinta, Arshad Warsi",Salaam Namaste (2005),"Romantic Songs, Dance Songs"
"Salaam Namaste, Ek Din Ek Pal Ek Janiya3.60 - 5 votes","Kunal Ganjawala, Vasundhara Das",Vishal Shekhar,Jaideep Sahni,"Preity Zinta, Saif Ali Khan",Salaam Namaste (2005),"Disco Songs, Romantic Songs"
My Dil Goes Mmm (Instrumental)3.00 - 1 votes,,Vishal Shekhar,,,Salaam Namaste (2005),Instrumental Songs
My Dil Goes Mmmm (Remix)3.00 - 5 votes,"Caralisa Monteiro, Shaan",Vishal Shekhar,Jaideep Sahni,"Preity Zinta, Saif Ali Khan",Salaam Namaste (2005),Remix Songs
Bye Bye Main Tujhe Chhod Ke Kaha Jaunga3.98 - 136 votes,Kumar Sanu,Anand Milind,Sameer,Mithun Chakraborty,Trinetra (1991),Happy Songs
Main Tujhe Chhod Ke Kaha Jaunga - II (Happy)4.00 - 45 votes,Kumar Sanu,Anand Milind,Sameer,Dharmendra,Trinetra (1991),Happy Songs
Main Tujhe Chod Ke Kahan Jaunga4.17 - 18 votes,Kumar Sanu,Anand Milind,Sameer,Dharmendra,Trinetra (1991),Sad Songs
Kehni Hai Ek Baat Magar Mai Keh Nahi Paati Hu4.71 - 7 votes,"S P Balasubramaniam, Sapna Mukherjee",Anand Milind,Sameer,Mithun Chakraborty,Trinetra (1991),Romantic Songs
Aaya Main Yahan Tere Liye Mere Sanam4.00 - 8 votes,Kumar Sanu,Anand Milind,Sameer,Mithun Chakraborty,Trinetra (1991),Romantic Songs
Aaja Aaja Kyaa Kahyega3.00 - 1 votes,Jolly Mukherjee,Anand Milind,Sameer,,Trinetra (1991),
Dekhenge Dekhengee Jo Bhi Dikhlaogi3.00 - 1 votes,Amit Kumar,Anand Milind,Sameer,,Trinetra (1991),
Talk Of The Towwn3.00 - 1 votes,Kavita Krishnamurthy,Anand Milind,Sameer,,Trinetra (1991),
Title Music (Trinetra)3.00 - 1 votes,,Anand Milind,Sameer,,Trinetra (1991),Instrumental Songs
Maitujhe Chhod Ke Kaha Jaunga - IV (Sad)3.20 - 5 votes,Kumar Sanu,Anand Milind,Sameer,Dharmendra,Trinetra (1991),Sad Songs
"Banne Se Banni, Tu Kyu Nahi Laaya Sone Ki Tagadi3.89 - 148 votes","Behroz Chatterjee, Kirti Kumar",Anup Jalota,Maya Govind,,Tohfa Mohabbat Ka (1988),Marriage Songs
Suno Brij Ki Kahani3.58 - 12 votes,"Anup Jalota, Alka Yagnik, Chandrani Mukherjee",Anup Jalota,Maya Govind,,Tohfa Mohabbat Ka (1988),Religious Songs
Tohfa Mohabbaat Ka4.50 - 4 votes,"Asha Bhosle, Anup Jalota",Anup Jalota,Maya Govind,,Tohfa Mohabbat Ka (1988),
Prem Ka Granth Padahu Sajnva4.33 - 3 votes,Parveen Sultana,Anup Jalota,Maya Govind,,Tohfa Mohabbat Ka (1988),Sad Songs
Tujhe Bhulne Ki Koshish Nakaam Ho Rahi Hai4.25 - 8 votes,Asha Bhosle,Anup Jalota,Maya Govind,,Tohfa Mohabbat Ka (1988),Mujra Songs
Pyar Se Pyara Kuch Bhi Nahi3.33 - 3 votes,"Anup Jalota, Anuradha Paudwal",Anup Jalota,Maya Govind,,Tohfa Mohabbat Ka (1988),Romantic Songs
"Dhum Titak Dhum Dhum, Gori O Gori Are Sun Sun3.00 - 1 votes","Anup Jalota, Asha Bhosle",Anup Jalota,Maya Govind,,Tohfa Mohabbat Ka (1988),Masti Bhare Geet
Damaadam Mast Kalandar4.19 - 120 votes,Runa Laila,Nisar Bazmi,,,The Loves Of Runa Laila (Album) (1985),
Waadiyaan Waadiyaan Raaste Raaste4.33 - 3 votes,Runa Laila,O P Nayyar,,,The Loves Of Runa Laila (Album) (1985),
Mohe Aai Na Jag Si Laaj4.06 - 33 votes,Runa Laila,,Qateel Shifai,,The Loves Of Runa Laila (Album) (1985),
Katate Hain Din Kaise Re3.50 - 2 votes,Runa Laila,O P Nayyar,,,The Loves Of Runa Laila (Album) (1985),
"Jeena Hai To Hans Ke Jiyo, Jeevan Me Ek Pal Bhi Rona Na3.95 - 163 votes","Asha Bhosle, Amit Kumar",Bappi Lahiri,Indeevar,,Thanedaar (1990),Masti Bhare Geet
Jeena Hai To Hans Ke Jiyo (3)4.21 - 28 votes,Asha Bhosle,Bappi Lahiri,Anjaan,"Jaya Prada, Sanjay Dutt",Thanedaar (1990),Sad Songs
Jeena Hai To Hans Ke Jiyo (2)4.18 - 40 votes,"Reema Lahiri, Amit Kumar, Asha Bhosle",Bappi Lahiri,Indeevar,,Thanedaar (1990),
Pehli Pehli Baar Aisa Thanedaar Aaya4.33 - 6 votes,"Amit Kumar, Alka Yagnik",Bappi Lahiri,Indeevar,"Sanjay Dutt, Jeetendra",Thanedaar (1990),Title Song
Zulmi Saiyan Thanedaar4.00 - 4 votes,Asha Bhosle,Bappi Lahiri,Sameer,,Thanedaar (1990),
Dekhne Me Toh Chhoti Hai Ye3.00 - 1 votes,Asha Bhosle,Bappi Lahiri,Sameer,"Sanjay Dutt, Madhuri Dixit",Thanedaar (1990),Dance Songs
Tamma Tamma Loge4.18 - 22 votes,"Bappi Lahiri, Anuradha Paudwal",Bappi Lahiri,Indeevar,Sanjay Dutt,Thanedaar (1990),
"Jab Se Huyee Hai Shaadee, Aansu Baha Raha Hu3.89 - 38 votes",Amit Kumar,Bappi Lahiri,"Raj Sippy, Sameer","Sanjay Dutt, Madhuri Dixit",Thanedaar (1990),Funny Songs
"Aur Bhala Kya Maangu Mai Rab Se, Mujh Tera Pyar Mila3.77 - 64 votes","Lata Mangeshkar, Pankaj Udhas",Bappi Lahiri,Indeevar,"Jeetendra, Jaya Prada",Thanedaar (1990),Romantic Songs
"Tamaa Tamaa Loge, Tu Premi Aahaa Main Premi Aahaa3.95 - 19 votes",Anuradha Paudwal,Bappi Lahiri,Indeevar,"Jaya Prada, Goga Kapoor, Kiran Kumar, Jeetendra, Sanjay Dutt, Madhuri Dixit",Thanedaar (1990),Dance Songs
Tamma Tamma Loge (Instrumental)3.00 - 1 votes,,Bappi Lahiri,,,Thanedaar (1990),Instrumental Songs
Jaye To Jaye Kahan4.39 - 979 votes,Talat Mahmood,Sachin Dev Burman,Sahir Ludhianvi,Dev Anand,Taxi Driver (1954),Sad Songs
"Chaahe Koyee Khush Ho, Chaahe Gaaliya Hajaar De4.71 - 41 votes","Kishore Kumar, Johnny Walker",Sachin Dev Burman,Sahir Ludhianvi,Dev Anand,Taxi Driver (1954),Masti Bhare Geet
"Dil Se Milaa Ke Dil, Pyaar Kijiye, Koi Suhaanaa Iqaraar Kijiye4.54 - 67 votes",Lata Mangeshkar,Sachin Dev Burman,Sahir Ludhianvi,"Dev Anand, Kalpana Kartik",Taxi Driver (1954),
"Ai Meri Zindagi, Aaj Raat Jhum Le4.52 - 50 votes",Lata Mangeshkar,Sachin Dev Burman,Sahir Ludhianvi,"Sheela Ramani, Dev Anand",Taxi Driver (1954),"Masti Bhare Geet, Dance Songs"
"Jine Do Aur Jiyo, Maranaa To Sabako Hai4.39 - 36 votes",Asha Bhosle,Sachin Dev Burman,Sahir Ludhianvi,"Dev Anand, Kalpana Kartik",Taxi Driver (1954),
Jayen To Jayen Kahan4.25 - 53 votes,Lata Mangeshkar,Sachin Dev Burman,Sahir Ludhianvi,"Dev Anand, Kalpana Kartik",Taxi Driver (1954),Sad Songs
"Dil Jale Toh Jale, Gam Pale Toh Pale4.72 - 47 votes",Lata Mangeshkar,Sachin Dev Burman,Sahir Ludhianvi,"Dev Anand, Kalpana Kartik",Taxi Driver (1954),
O Dekho Maane Nahee Ruthee Hasina4.64 - 25 votes,"Asha Bhosle, Jagmohan Bakshi",Sachin Dev Burman,Sahir Ludhianvi,"Kalpana Kartik, Dev Anand",Taxi Driver (1954),Roothna Manaana
"Yeh Mera Prem Patra Padhkar, Ke Tum Naaraz Na Hona4.24 - 3590 votes",Mohammed Rafi,Shankar Jaikishan,Hasrat Jaipuri,"Rajendra Kumar, Vyjayantimala",Sangam (1964),Romantic Songs
Mere Man Ki Ganga Aur Tere Man Ki Jamuna Ka4.09 - 220 votes,"Vijayanthimala, Mukesh",Shankar Jaikishan,Shailendra,"Vyjayantimala, Raj Kapoor",Sangam (1964),"Ched Chad Songs, Roothna Manaana"
Main Kya Karun Ram Mujhe Buddha Mil Gaya4.00 - 282 votes,Lata Mangeshkar,Shankar Jaikishan,Hasrat Jaipuri,"Vyjayantimala, Raj Kapoor",Sangam (1964),"Dance Songs, Ched Chad Songs"
"Har Dil Jo Pyar Karega, Voh Gana Gayega4.34 - 672 votes","Mahendra Kapoor, Mukesh, Lata Mangeshkar",Shankar Jaikishan,Shailendra,"Vyjayantimala, Rajendra Kumar, Raj Kapoor",Sangam (1964),"Romantic Songs, Party Songs"
O Mahabuba Tere Dil Ke Paas Hi Hai Meri Manzil-E-Maksood4.29 - 139 votes,Mukesh,Shankar Jaikishan,Hasrat Jaipuri,"Raj Kapoor, Vyjayantimala, Rajendra Kumar",Sangam (1964),Romantic Songs
O Mere Sanam O Mere Sanam4.28 - 257 votes,"Lata Mangeshkar, Mukesh",Shankar Jaikishan,Shailendra,"Raj Kapoor, Rajendra Kumar, Vyjayantimala",Sangam (1964),
I Love You (Ich Liebe Dich)4.16 - 58 votes,Vivian Lobo,Shankar Jaikishan,,"Vyjayantimala, Raj Kapoor",Sangam (1964),Romantic Songs
Dost Dost Na Raha Pyar Pyar Na Raha4.49 - 362 votes,Mukesh,Shankar Jaikishan,Shailendra,"Raj Kapoor, Vyjayantimala, Rajendra Kumar",Sangam (1964),"Friendship Songs, Dard Bhare Geet, Filmfare Awards Nominee"
"Ruthe Hue Ho Kyun, Mil Ke Judaa Ho Kyun4.25 - 4 votes",Adnan Sami,Adnan Sami,Sameer,,Tera Chehra (Album) (2002),
"Yeh Jamin Ruk Jaaye, Aasman Jhuk Jaaye4.47 - 548 votes",Adnan Sami,Adnan Sami,Sameer,,Tera Chehra (Album) (2002),Romantic Songs
Chain Mujhe Ab Aaye Naa4.17 - 29 votes,Adnan Sami,Adnan Sami,Sameer,,Tera Chehra (Album) (2002),"Romantic Songs, Dard Bhare Geet"
"Yeh Jamin Ruk Jaaye, Aasman Jhuk Jaaye (Sad)4.50 - 10 votes",Adnan Sami,Adnan Sami,Sameer,Adnan Sami,Tera Chehra (Album) (2002),Sad Songs
Dil Kah Rahaa Hai Dil Se4.20 - 15 votes,Adnan Sami,Adnan Sami,Sameer,,Tera Chehra (Album) (2002),Romantic Songs
Teree Baaho Me Jo Gujaree4.67 - 3 votes,Adnan Sami,Adnan Sami,Sameer,,Tera Chehra (Album) (2002),Romantic Songs
Nain Se Naino Ko Mila4.50 - 8 votes,Adnan Sami,Adnan Sami,Sameer,,Tera Chehra (Album) (2002),Romantic Songs
Maulaa Kabhi Mujhe Chhodanaa Kabhi Nahin4.33 - 6 votes,"Amitabh Bachchan, Adnan Sami",Adnan Sami,Sameer,,Tera Chehra (Album) (2002),
Saanson Men Meri Saanson Men Nashaa Hai Pyaar Kaa2.57 - 7 votes,Adnan Sami,Adnan Sami,Sameer,,Tera Chehra (Album) (2002),
