title,link,price,likes
Coding with Python: The Ultimate Training for Aspiring Developers Bundle (Lifetime Access) $30,https://slickdeals.net/f/13972892-coding-with-python-the-ultimate-training-for-aspiring-developers-bundle-lifetime-access-30?src=catpagev2,N/A,2
AMD Ryzen 5 2600 Processor with Wraith Stealth Cooler @Newegg $109.99,https://slickdeals.net/f/13971728-amd-ryzen-5-2600-processor-with-wraith-stealth-cooler-newegg-109-99?src=catpagev2,$109.99,11
"Ableton Live 10 Recording Software (Digital Download): Standard $314, Intro",https://slickdeals.net/f/13970216-ableton-live-10-recording-software-digital-download-standard-314-intro-69-more?src=catpagev2,$69,48
Dell EPP Alienware M17 laptop I7-9750 16G 512G SSD 2060  Video Card for $1318.58,https://slickdeals.net/f/13971098-dell-epp-alienware-m17-laptop-i7-9750-16g-512g-ssd-2060-video-card-for-1318-58?src=catpagev2,"$1,318.58",5
Preorder: Costco -MSI GE75 Raider 10th Gen Intel i7 $1399,https://slickdeals.net/f/13970198-preorder-costco-msi-ge75-raider-10th-gen-intel-i7-1399?src=catpagev2,"$1,399",14
"7.86"" HP Pro Tablet 608 G1: x5-Z8550, 4GB RAM, 64GB Storage (Refurbsihed)",https://slickdeals.net/f/13969259-7-86-hp-pro-tablet-608-g1-x5-z8550-4gb-ram-64gb-storage-refurbsihed-80-free-shipping?src=catpagev2,$80,46
Norton 360 Deluxe - Antivirus software for 3 Devices with Auto Renewal (download) $15.99 AC,https://slickdeals.net/f/13969334-norton-360-deluxe-antivirus-software-for-3-devices-with-auto-renewal-download-15-99-ac?src=catpagev2,$15.99,11
BlackWidow Essential Wired Gaming Mechanical Razer Green Switch Keyboard with Back Lighting $54.99,https://slickdeals.net/f/13969643-blackwidow-essential-wired-gaming-mechanical-razer-green-switch-keyboard-with-back-lighting-54-99?src=catpagev2,$54.99,4
Microcenter: Apple iPad Pro - Silver (Late 2018) $549.99 In store pickup ONLY. YMMV DEAL,https://slickdeals.net/f/13968656-microcenter-apple-ipad-pro-silver-late-2018-549-99-in-store-pickup-only-ymmv-deal?src=catpagev2,$549.99,21
Cooler Master - SK650 Wired Gaming Mechanical Keyboard $80.99,https://slickdeals.net/f/13968473-cooler-master-sk650-wired-gaming-mechanical-keyboard-80-99?src=catpagev2,$80.98,13
Dell Home Outlet: Inspiron 24 5000 (5490) All-in-One $748.49 + FS & MORE,https://slickdeals.net/f/13968596-dell-home-outlet-inspiron-24-5000-5490-all-in-one-748-49-fs-more?src=catpagev2,$748.49,2
Drafting Chair for sit-stand station - $129.99 (Black or Gray),https://slickdeals.net/f/13968815-drafting-chair-for-sit-stand-station-129-99-black-or-gray?src=catpagev2,$129.99,5
ew Microsoft Surface Pro 7 Bundle - 10th Gen Intel Core i5 - 2736 x 1824 Display - Windows 10 - Black $999,https://slickdeals.net/f/13969217-ew-microsoft-surface-pro-7-bundle-10th-gen-intel-core-i5-2736-x-1824-display-windows-10-black-999?src=catpagev2,$999,2
"GIGABYTE AERO 15 Classic-SA-U74ADP 15.6"" Intel Core i7-9750H 16GB Memory 512GB SSD Gaming Laptop - $1379 + FS",https://slickdeals.net/f/13967630-gigabyte-aero-15-classic-sa-u74adp-15-6-intel-core-i7-9750h-16gb-memory-512gb-ssd-gaming-laptop-1379-fs?src=catpagev2,"$1,379",10
